11975906419540449,2.98696
11975906419540450,1.21293
11976043858493441,0.275825
11976043858493442,-0.397363
11976181297446913,-1.74606
11976181297446914,-0.47667
11976181297446916,-2.1083
11976181297446917,0.185698
11976181297447403,-0.124255
11976181297447404,-4.55202
11980441905005134,-0.427559
11980579343958056,-1.12677
11980579343958057,-12.8204
11980579343958059,1.06093
11980579343958060,2.28164
11980579343958061,\N
11980579343958062,-1.50532
11980579343958063,-0.579852
11980579343958064,-0.641889
11980579343958065,-0.960184
11980579343958198,-3.12879
11980579343958199,-39.2686
11980579343958200,-1.72464
11980579343958201,0.709926
11980579343958723,1.32454
11980579343958724,2.67687
11980854221865093,-0.0640741
11980991660818494,-0.738084
11980991660818495,\N
11980991660819003,1.84521
11981129099771905,0.0221277
11981129099771907,-1.98796
11981129099772602,-2.22293
11981129099772603,-23.0457
11981129099772604,-0.297517
11981129099772605,-16.3172
11981129099772606,-6.85803
